timestamp,open,high,low,close,volume
2022-08-22T04:00:00+00:00,174.9,175.58,169.66,170.34,43631244
2022-08-23T04:00:00+00:00,169.885,174.65,169.7,171.81,38191310
2022-08-24T04:00:00+00:00,170.12,174.06,168.95,172.22,53586327
2022-08-25T04:00:00+00:00,168.44,179.47,168.33,179.13,79000803
2022-08-26T04:00:00+00:00,178.57,179.24,162.37,162.6,80276742
2022-08-29T04:00:00+00:00,160.2,163.38,157.67,158.01,51299715
2022-08-30T04:00:00+00:00,159.6,160.39,151.82,154.68,55630743
2022-08-31T04:00:00+00:00,153.84,155.4,149.5851,150.94,60320751
2022-09-01T04:00:00+00:00,142.09,143.8,132.7021,139.37,120756547
2022-09-02T04:00:00+00:00,141,141.71,135.91,136.47,76438261
2022-09-06T04:00:00+00:00,137.31,137.79,133.51,134.65,56167899
2022-09-07T04:00:00+00:00,135.63,138.38,133.46,137.14,53690616
2022-09-08T04:00:00+00:00,134.59,140.08,133.69,139.9,64485878
2022-09-09T04:00:00+00:00,141.57,144.74,141.26,143.87,50518400
2022-09-12T04:00:00+00:00,143.69,145.47,141.98,145.05,50283853
2022-09-13T04:00:00+00:00,138.02,139.22,130.99,131.31,75676831
2022-09-14T04:00:00+00:00,132.54,132.8999,129.13,131.28,61169782
2022-09-15T04:00:00+00:00,130.152,132.3299,127.9,129.29,54625286
2022-09-16T04:00:00+00:00,127.415,132.12,126.17,131.98,74594724
2022-09-19T04:00:00+00:00,130.12,134.63,130.1,133.82,58679031
2022-09-20T04:00:00+00:00,132.145,134.8276,130.57,131.76,53896002
2022-09-21T04:00:00+00:00,132.13,140.31,131.1,132.61,83540733
2022-09-22T04:00:00+00:00,130.7,131.4897,124.28,125.61,78073613
2022-09-23T04:00:00+00:00,124.2,126.11,122.57,125.16,68605899
2022-09-26T04:00:00+00:00,124.91,126.59,122.14,122.28,56842316
2022-09-27T04:00:00+00:00,125.07,127.36,122.58,124.13,57318936
2022-09-28T04:00:00+00:00,124.1,128.23,123.5386,127.36,56535228
2022-09-29T04:00:00+00:00,124.48,125,119.4601,122.2,55874834
2022-09-30T04:00:00+00:00,120.87,126.33,120.75,121.39,59852867
2022-10-03T04:00:00+00:00,123.47,126.78,121.05,125.12,57557830
2022-10-04T04:00:00+00:00,128.79,132.2,128.79,131.67,61054670
2022-10-05T04:00:00+00:00,129.107,133.21,126.21,132.09,52039123
2022-10-06T04:00:00+00:00,132.2,136.56,131.03,131.3,65897557
2022-10-07T04:00:00+00:00,125.05,126.7,120.22,120.76,71127615
2022-10-10T04:00:00+00:00,120.37,121.2432,114.0812,116.7,71924924
2022-10-11T04:00:00+00:00,115.61,118.46,112.83,115.86,69842936
2022-10-12T04:00:00+00:00,115.79,117.35,113.45,115,51574847
2022-10-13T04:00:00+00:00,109.71,120.7799,108.13,119.6,87734064
2022-10-14T04:00:00+00:00,120.57,121.11,112.04,112.27,74025743
2022-10-17T04:00:00+00:00,115.18,119.48,115.17,118.88,60843017
2022-10-18T04:00:00+00:00,123.44,124.92,116.18,119.67,67499399
2022-10-19T04:00:00+00:00,118.79,123.5,118.34,120.51,54054013
2022-10-20T04:00:00+00:00,121.13,127.69,121.05,121.94,67075332
2022-10-21T04:00:00+00:00,120.982,124.98,118.87,124.66,63872025
2022-10-24T04:00:00+00:00,125.08,127.1,120.64,125.99,53523824
2022-10-25T04:00:00+00:00,126.935,133,126.64,132.61,52415889
2022-10-26T04:00:00+00:00,128.69,133.88,127.08,128.96,55366741
2022-10-27T04:00:00+00:00,136.3,138.38,131.22,131.76,61447869
2022-10-28T04:00:00+00:00,131.04,138.5,130.61,138.34,55134108
2022-10-31T04:00:00+00:00,137.78,138.38,132.97,134.97,51079903
2022-11-01T04:00:00+00:00,138.11,139.25,135.19,135.43,44603607
2022-11-02T04:00:00+00:00,138.5,142.1,132.1124,132.19,70271203
2022-11-03T04:00:00+00:00,130.43,137.81,129.56,134.21,51960330
2022-11-04T04:00:00+00:00,139.86,142.29,136.97,141.56,64355003
2022-11-07T05:00:00+00:00,142.28,144.12,139.54,143.01,42798884
2022-11-08T05:00:00+00:00,148.01,148.9101,142.16,146.02,61282498
2022-11-09T05:00:00+00:00,141.615,142.11,137.5901,137.76,48228978
2022-11-10T05:00:00+00:00,148,157.73,145.47,157.5,75430151
2022-11-11T05:00:00+00:00,158.075,163.89,154.82,163.27,68050763
2022-11-14T05:00:00+00:00,162.18,165.4,159.22,162.95,55672381
2022-11-15T05:00:00+00:00,167.215,169.98,163.82,166.66,57373881
2022-11-16T05:00:00+00:00,161.615,163.62,158.73,159.1,68719159
2022-11-17T05:00:00+00:00,157.15,162.66,155.35,156.77,72881841
2022-11-18T05:00:00+00:00,159.66,160.02,151.2001,154.09,51173495
2022-11-21T05:00:00+00:00,151.47,154.77,150.8,153.17,42561852
2022-11-22T05:00:00+00:00,153.28,160.5757,151.216,160.38,49188854
2022-11-23T05:00:00+00:00,160.98,165.27,160.4801,165.19,44252670
2022-11-25T05:00:00+00:00,163.18,164.87,161.72,162.7,17717427
2022-11-28T05:00:00+00:00,160.26,163.57,157.25,158.27,32906411
